Ministry,Demand,Budget_2023_Revenue,Budget_2023_Capital,Budget_2023_Total,Percentage_of_Total,Budget_Category
Ministry of Agriculture and Farmers Welfare,Total,124982.96,52.83,125035.79,1.3883309365201502,High
Ministry of Agriculture and Farmers Welfare,1. Department of Agriculture and Farmers Welfare,115489.37,42.42,115531.79,1.282803573349273,High
Ministry of Agriculture and Farmers Welfare,2. Department of Agricultural Research and Education,9493.59,10.41,9504.0,0.10552736317087698,Medium
Department of Atomic Energy,Total,9096.99,15981.5,25078.49,0.27845821990816566,High
Department of Atomic Energy,3. Atomic Energy,9096.99,15981.5,25078.49,0.27845821990816566,High
Ministry of  AYUSH,Total,3641.56,5.94,3647.5,0.040499900796062055,Low
Ministry of  AYUSH,4. Ministry of Ayush,3641.56,5.94,3647.5,0.040499900796062055,Low
Ministry of Chemicals and Fertilisers,Total,178477.21,4.78,178481.99,1.981769126493143,High
Ministry of Chemicals and Fertilisers,5. Department of Chemicals and Petrochemicals,172.55,0.9,173.45,0.0019258965848051987,Low
Ministry of Chemicals and Fertilisers,6. Department of Fertilisers,175145.79,2.69,175148.48,1.9447556037233884,High
Ministry of Chemicals and Fertilisers,7. Department of Pharmaceuticals,3158.87,1.19,3160.06,0.03508762618494965,Low
Ministry of Civil Aviation,Total,3026.7,86.66,3113.36,0.03456909421313989,Low
Ministry of Civil Aviation,8. Ministry of Civil Aviation,3026.7,86.66,3113.36,0.03456909421313989,Low
Ministry of Coal,Total,190.77,1.55,192.32,0.0021354190325150522,Low
Ministry of Coal,9. Ministry of Coal,190.77,1.55,192.32,0.0021354190325150522,Low
Ministry of Commerce and Industry,Total,11765.36,1689.85,13455.21,0.14939949833863797,Medium
Ministry of Commerce and Industry,10. Department of Commerce,5216.43,38.15,5254.58,0.05834406270732603,Medium
Ministry of Commerce and Industry,11. Department for Promotion of Industry and Internal Trade,6548.93,1651.7,8200.63,0.09105543563131194,Medium
Ministry of Communications,Total,60304.28,63088.77,123393.05,1.3700908249276285,High
Ministry of Communications,12. Department of Posts,24417.05,1396.95,25814.0,0.28662493191214417,High
Ministry of Communications,13. Department of Telecommunications,35887.23,61691.82,97579.05,1.0834658930154843,High
"Ministry of Consumer Affairs, Food and Public Distribution",Total,205586.16,178.44,205764.6,2.2847007230545278,High
"Ministry of Consumer Affairs, Food and Public Distribution",14. Department of Consumer Affairs,222.59,28.07,250.66,0.0027831953758851035,Low
"Ministry of Consumer Affairs, Food and Public Distribution",15. Department of Food and Public Distribution,205363.57,150.37,205513.94,2.2819175276786425,High
Ministry of Cooperation,Total,1149.38,1.0,1150.38,0.012773207917141568,Low
Ministry of Cooperation,16. Ministry of Cooperation,1149.38,1.0,1150.38,0.012773207917141568,Low
Ministry of Corporate Affairs,Total,714.19,42.0,756.19,0.008396331729396618,Low
Ministry of Corporate Affairs,17. Ministry of Corporate Affairs,714.19,42.0,756.19,0.008396331729396618,Low
Ministry of Culture,Total,3114.25,285.4,3399.65,0.03774790616623231,Low
Ministry of Culture,18. Ministry of Culture,3114.25,285.4,3399.65,0.03774790616623231,Low
Ministry of Defence,Total,422162.85,171374.79,593537.64,6.5903263985548435,High
Ministry of Defence,19. Ministry of Defence (Civil),13837.71,8774.79,22612.5,0.2510771779988905,High
Ministry of Defence,20. Defence Services (Revenue),270120.14,0.0,270120.14,2.9992704244053168,High
Ministry of Defence,21. Capital Outlay on Defence Services,0.0,162600.0,162600.0,1.8054239532391196,High
Ministry of Defence,22. Defence Pensions,138205.0,0.0,138205.0,1.5345548429115163,High
